GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test-coverage-research,com.lamhot.app,Fibonacci,0,21,0,2,0,6,0,3,0,2
test-coverage-research,com.lamhot.app,FibonacciMain,17,0,0,0,6,0,2,0,2,0
